file	relative_path	inferred_manual_or_generated	curation_type	dataset_id_if_applicable	used_in_stage	used_in_figure_or_table	evidence_of_manual_edit	source_file_or_publication	notes
<local_project_root>\00_metadata\verified_metadata\splited\GSE264344_design\GSE264344_design__T=dLN__H=72__B=NA__G=delivery_ad26__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=72__B=NA__G=delivery_ad26__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE264344_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE264344_design\GSE264344_design__T=dLN__H=72__B=NA__G=delivery_ad5__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=72__B=NA__G=delivery_ad5__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE264344_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE264344_design\GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad26__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad26__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE264344_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE264344_design\GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad5__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad5__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE264344_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE264344_design\GSE264344_design__T=Muscle__H=12__B=NA__G=delivery_ad26__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=12__B=NA__G=delivery_ad26__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE264344_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE264344_design\GSE264344_design__T=Muscle__H=12__B=NA__G=delivery_ad5__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=12__B=NA__G=delivery_ad5__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE264344_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE264344_design\GSE264344_design__T=Muscle__H=24__B=NA__G=delivery_ad26__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=24__B=NA__G=delivery_ad26__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE264344_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE264344_design\GSE264344_design__T=Muscle__H=24__B=NA__G=delivery_ad5__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=24__B=NA__G=delivery_ad5__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE264344_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE264344_design\GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad26__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad26__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE264344_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE264344_design\GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad5__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad5__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE264344_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE264344_design\GSE264344_design__T=Muscle__H=6__B=NA__G=delivery_ad26__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=6__B=NA__G=delivery_ad26__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE264344_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE264344_design\GSE264344_design__T=Muscle__H=6__B=NA__G=delivery_ad5__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=6__B=NA__G=delivery_ad5__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE264344_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE264344_design\GSE264344_design__T=Muscle__H=72__B=NA__G=delivery_ad26__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=72__B=NA__G=delivery_ad26__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE264344_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE264344_design\GSE264344_design__T=Muscle__H=72__B=NA__G=delivery_ad5__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=72__B=NA__G=delivery_ad5__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE264344_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE279372_design\GSE279372_design__contrast_index.tsv	00_metadata/verified_metadata/splited/GSE279372_design/GSE279372_design__contrast_index.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE279372_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE279372_design\GSE279372_design__group_map.tsv	00_metadata/verified_metadata/splited/GSE279372_design/GSE279372_design__group_map.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE279372_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE279372_design\GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_1000_g_lnps_injected__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE279372_design/GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_1000_g_lnps_injected__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE279372_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE279372_design\GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_250_g_alum_injected__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE279372_design/GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_250_g_alum_injected__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE279372_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE279372_design\GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_5_g_gi_1_gii_4_vlp__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE279372_design/GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_5_g_gi_1_gii_4_vlp__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE279372_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE279372_design\GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=GID00110503__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE279372_design/GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=GID00110503__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE279372_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE279372_design\GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=GID00110754__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE279372_design/GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=GID00110754__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE279372_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE279372_design\GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=GID00114748__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE279372_design/GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=GID00114748__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE279372_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE279743_design\GSE279743_design__contrast_index.tsv	00_metadata/verified_metadata/splited/GSE279743_design/GSE279743_design__contrast_index.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE279743_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE279743_design\GSE279743_design__group_map.tsv	00_metadata/verified_metadata/splited/GSE279743_design/GSE279743_design__group_map.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE279743_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE279743_design\GSE279743_design__T=Lymph_Node__H=6__B=NA__G=delivery_vaccination_with_sm102__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE279743_design/GSE279743_design__T=Lymph_Node__H=6__B=NA__G=delivery_vaccination_with_sm102__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE279743_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE279743_design\GSE279743_design__T=Lymph_Node__H=6__B=NA__G=delivery_vaccination_with_ssop__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE279743_design/GSE279743_design__T=Lymph_Node__H=6__B=NA__G=delivery_vaccination_with_ssop__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE279743_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE279744_design\GSE279744_design__contrast_index.tsv	00_metadata/verified_metadata/splited/GSE279744_design/GSE279744_design__contrast_index.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE279744_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE279744_design\GSE279744_design__group_map.tsv	00_metadata/verified_metadata/splited/GSE279744_design/GSE279744_design__group_map.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE279744_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE279744_design\GSE279744_design__T=lymph_node__H=6__B=NA__G=delivery_vaccination_with_sm102__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE279744_design/GSE279744_design__T=lymph_node__H=6__B=NA__G=delivery_vaccination_with_sm102__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE279744_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE279744_design\GSE279744_design__T=lymph_node__H=6__B=NA__G=delivery_vaccination_with_ssop__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE279744_design/GSE279744_design__T=lymph_node__H=6__B=NA__G=delivery_vaccination_with_ssop__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE279744_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE314070_design\GSE314070_design__contrast_index.tsv	00_metadata/verified_metadata/splited/GSE314070_design/GSE314070_design__contrast_index.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE314070_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE314070_design\GSE314070_design__group_map.tsv	00_metadata/verified_metadata/splited/GSE314070_design/GSE314070_design__group_map.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE314070_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE314070_design\GSE314070_design__T=small_intestine__H=336__B=NA__G=delivery_am80_lnp__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE314070_design/GSE314070_design__T=small_intestine__H=336__B=NA__G=delivery_am80_lnp__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE314070_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE314070_design\GSE314070_design__T=small_intestine__H=336__B=NA__G=delivery_sm102_lnp__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE314070_design/GSE314070_design__T=small_intestine__H=336__B=NA__G=delivery_sm102_lnp__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE314070_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE39129_design\GSE39129_design__contrast_index.tsv	00_metadata/verified_metadata/splited/GSE39129_design/GSE39129_design__contrast_index.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE39129_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE39129_design\GSE39129_design__group_map.tsv	00_metadata/verified_metadata/splited/GSE39129_design/GSE39129_design__group_map.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE39129_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE39129_design\GSE39129_design__T=liver__H=4__B=NA__G=delivery_lentiviral_vector_lv__VS=delivery_none.tsv	00_metadata/verified_metadata/splited/GSE39129_design/GSE39129_design__T=liver__H=4__B=NA__G=delivery_lentiviral_vector_lv__VS=delivery_none.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE39129_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\audit\datasets\weak_dataset_paper_mappings.tsv	audit/datasets/weak_dataset_paper_mappings.tsv	curated_publication_mapping	publication_context_mapping	NA	09_boundary_context_audit; 18_supplementary_table_generation	supporting documentation	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	current audit/provenance source	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\audit\results\all_split_design_inventory.tsv	audit/results/all_split_design_inventory.tsv	manual_or_curated_candidate	other_manual_input	NA	manual input documentation	supporting documentation	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	current audit/provenance source	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\audit\results\all_verified_metadata_folder_inventory.tsv	audit/results/all_verified_metadata_folder_inventory.tsv	manual_or_curated_candidate	other_manual_input	NA	manual input documentation	supporting documentation	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	current audit/provenance source	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\audit\results\GSE119119_corrected_split_file_audit.tsv	audit/results/GSE119119_corrected_split_file_audit.tsv	manual_or_curated_candidate	other_manual_input	GSE119119_corrected	manual input documentation	supporting documentation	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	current audit/provenance source	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\audit\results\manuscript_dataset_role_table.csv	audit/results/manuscript_dataset_role_table.csv	curated_analysis_role_table	dataset_role_assignment; inclusion_exclusion_decision	NA	08_dataset_role_cleanup; 17_figure_generation; 18_supplementary_table_generation	Figures 1-5; Supplementary Tables S1-S2	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	current audit/provenance source	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	audit/results/manuscript_dataset_role_table.tsv	curated_analysis_role_table	dataset_role_assignment; inclusion_exclusion_decision	NA	08_dataset_role_cleanup; 17_figure_generation; 18_supplementary_table_generation	Figures 1-5; Supplementary Tables S1-S2	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	current audit/provenance source	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\audit\results\manuscript_weak_dataset_interpretation_table.tsv	audit/results/manuscript_weak_dataset_interpretation_table.tsv	curated_boundary_context_source	boundary_context_category; publication_context_mapping	NA	09_boundary_context_audit; 18_supplementary_table_generation	Supplementary Table S3; Figure 4; Supplementary Figure S1	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	current audit/provenance source	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\audit\results\supplement_dataset_split_provenance_v2.csv	audit/results/supplement_dataset_split_provenance_v2.csv	generated_from_curated_sources	split_definition; publication_context_mapping	NA	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	current audit/provenance source	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\audit\results\supplement_dataset_split_provenance_v2.tsv	audit/results/supplement_dataset_split_provenance_v2.tsv	generated_from_curated_sources	split_definition; publication_context_mapping	NA	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	current audit/provenance source	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\audit\results\supplement_dataset_split_provenance_v2.xlsx	audit/results/supplement_dataset_split_provenance_v2.xlsx	generated_from_curated_sources	split_definition; publication_context_mapping	NA	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	current audit/provenance source	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\audit\results\supplement_dataset_split_provenance_v5.csv	audit/results/supplement_dataset_split_provenance_v5.csv	generated_from_curated_sources	split_definition; publication_context_mapping	NA	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	current audit/provenance source	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\audit\results\supplement_dataset_split_provenance_v5.tsv	audit/results/supplement_dataset_split_provenance_v5.tsv	generated_from_curated_sources	split_definition; publication_context_mapping	NA	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	current audit/provenance source	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\audit\results\supplement_dataset_split_provenance_v5.xlsx	audit/results/supplement_dataset_split_provenance_v5.xlsx	generated_from_curated_sources	split_definition; publication_context_mapping	NA	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	current audit/provenance source	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.csv	audit/results/supplement_dataset_split_provenance_v7.csv	generated_from_curated_sources	split_definition; publication_context_mapping	NA	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	current audit/provenance source	Recorded as a manual/curated input or generated table documenting curated inputs.
